WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
6,1,0,8,55,13,0,8,1,0.8,348,1,0,0,0.3889,0,0,56.8333,390,6,0.0026,NotFaulty
5,1,0,10,8,6,0,10,5,0.5833,67,0.6667,0,0,0.6,0,0,11.8,470,3,0,Faulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,2352,1,0,Faulty
2,1,0,14,26,0,0,14,1,0,124,0.5,0,0,0.6667,0,0,60,1178,4,0,Faulty
6,1,0,7,47,11,0,7,1,0.8,317,1,0,0,0.44,0,0,51.5,397,7,0.0026,NotFaulty
1,1,0,2,4,0,0,2,1,2,8,0,0,0,1,0,0,7,2383,1,0,NotFaulty
3,1,0,4,8,1,0,4,3,0.5,31,1,0,0,0.8333,0,0,9,795,2,0.0005,NotFaulty
1,1,0,2,4,0,0,2,1,2,8,0,0,0,1,0,0,7,2388,1,0,NotFaulty
30,1,0,4,48,435,0,4,24,1.0345,809,1,0,0,0.3762,0,0,25.8,81,10,0,NotFaulty
4,2,0,1,7,4,0,1,2,0.8095,2375,0.1429,4,0.8667,0.4,1,1,591,612,1,0.0002,NotFaulty
4,4,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,613,1,0,NotFaulty
2,1,0,5,4,0,0,5,1,0.3333,23,0,0,0,0.6,0,0,9,1228,1,0,NotFaulty
1,1,0,1,3,0,0,1,0,2,28,0,0,0,0,0,0,26,2457,1,0,NotFaulty
1,1,0,1,3,0,0,1,0,2,28,0,0,0,0,0,0,26,2458,1,0,NotFaulty
4,1,0,5,12,6,0,5,0,2,63,0,0,0,0.4,0,0,14.75,616,2,0.0002,NotFaulty
4,2,0,1,7,4,0,1,2,0.9167,56,0.25,4,0.8667,0.4444,1,1,12,617,1,0.0007,NotFaulty
6,1,0,10,14,11,0,10,3,0.4,73,0,0,0,0.4667,0,0,10.8333,413,5,0,NotFaulty
12,1,0,12,46,24,0,12,6,0.6364,256,0.75,0,0,0.3542,0,0,20,208,5,0.0005,NotFaulty
7,1,0,0,7,21,0,0,7,2,7,0,0,0,0.4286,0,0,0,358,1,0,NotFaulty
4,4,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,628,1,0,NotFaulty
4,1,0,3,6,6,0,3,2,1,18,0,0,0,0.6667,0,0,3.25,629,1,0,NotFaulty
1,2,0,0,2,0,0,0,0,2,5,1,0,0,1,0,0,3,2519,1,0,NotFaulty
