WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
2,1,0,1,3,1,0,1,1,2,7,0,0,0,0.75,0,0,2.5,70,1,0,NotFaulty
2,1,0,1,3,1,0,1,1,2,7,0,0,0,0.75,0,0,2.5,71,1,0,NotFaulty
3,1,0,2,11,0,0,2,1,0.25,100,0,0,0,0.5333,0,0,31.6667,51,5,0,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,154,1,0,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,0.8333,0,0,0,52,1,0,NotFaulty
10,1,0,15,36,45,0,15,9,2,275,0,0,0,0.3571,0,0,26.5,18,5,0,NotFaulty
7,1,0,10,20,21,0,10,6,1,168,0,4,0,0.4167,0,0,22,28,7,0.0077,NotFaulty
3,1,0,0,5,3,0,0,2,2,17,0,0,0,0.5556,0,0,4.6667,67,1,0,NotFaulty
6,1,0,0,6,15,0,0,6,2,6,0,0,0,1,0,0,0,34,1,0,NotFaulty
6,1,0,6,16,0,0,6,2,0.4667,321,0,0,0,0.4167,0,0,51.5,39,11,0,NotFaulty
4,1,0,1,11,0,0,1,3,0.3333,66,0,0,0,0.625,0,0,14.75,61,2,0,NotFaulty
61,2,0,6,82,1324,0,6,53,0.3867,876,1,0,0.2308,0.4672,2,8,13.2787,6,13,0,NotFaulty
9,1,0,1,18,2,0,1,7,0.5,95,0,0,0,0.3611,0,0,9.3333,43,2,0,NotFaulty
10,3,0,3,27,3,0,3,9,0.3333,145,1,0,0.6786,0.375,2,11,13.4,41,5,0,NotFaulty
31,3,0,3,59,45,0,3,30,0.35,280,1,0,0.3878,0.3484,2,12,7.9677,14,5,0,NotFaulty
9,1,0,1,17,14,0,1,7,0.75,94,0,0,0,0.4167,0,0,9,52,4,0,NotFaulty
7,1,0,10,28,9,0,10,6,0.4048,559,0.8571,0,0,0.3167,0,0,77.8571,77,36,0,NotFaulty
61,2,0,7,83,1180,0,7,53,0.2567,902,1,0,0.2308,0.4672,2,8,13.7049,11,13,0,NotFaulty
4,1,0,0,10,4,0,0,4,0.6667,31,0,0,0,0.5,1,1,6.5,172,1,0,NotFaulty
8,2,0,2,18,0,0,2,7,0.2857,55,1,0,0.6957,0.3438,1,5,5.75,87,2,0,NotFaulty
82,2,0,29,167,2843,0,29,55,0.8959,3487,0.9333,0,0.1837,0.1033,2,8,41.1585,12,44,0.1704,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
2,1,0,1,3,1,0,1,0,0,18,0,0,0,0.875,0,0,7,499,1,0,NotFaulty
2,2,0,1,4,0,0,1,1,0,14,0,0,0.9846,0.6667,0,0,5.5,500,1,0,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,501,1,0,NotFaulty
2,3,0,1,3,0,0,1,2,0,14,0,0,0.8571,0.625,0,0,5.5,502,1,0,NotFaulty
2,3,0,1,3,0,0,1,2,0,14,0,0,0.8333,0.625,0,0,5.5,503,1,0,NotFaulty
1,1,0,0,2,0,0,0,0,2,4,0,0,0,1,0,0,3,1007,1,0,NotFaulty
