WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
16,1,0,22,76,116,0,22,15,0.9333,319,0.5,0,0,0.2952,0,0,18.8125,87,8,0.0029,NotFaulty
4,1,0,3,10,6,0,3,3,2,181,0,0,0,0.25,0,0,44.25,352,3,0.0004,NotFaulty
1,3,0,0,3,0,0,0,0,2,39,0,0,1,1,0,0,38,1409,1,0,NotFaulty
1,3,0,3,3,0,0,3,0,2,14,0,0,1,1,0,0,13,1410,1,0,NotFaulty
30,1,0,22,100,265,0,22,22,1.0046,894,0.2308,0,0,0.2552,0,0,27.0667,48,6,0.0022,NotFaulty
7,1,0,2,18,3,0,2,6,0.3889,97,1,0,0,0.3265,0,0,12.4286,210,5,0.0007,NotFaulty
11,1,0,11,11,55,0,11,11,2,11,0,0,0,0.2626,0,0,0,135,1,0,NotFaulty
5,1,0,4,10,0,0,4,4,0.5,34,0,0,0,0.4667,0,0,5.4,298,1,0,Faulty
1,1,0,1,3,0,0,1,0,2,28,0,0,0,0,0,0,26,1493,1,0,Faulty
1,1,0,1,3,0,0,1,0,2,21,0,0,0,0,0,0,19,1494,1,0,NotFaulty
6,1,0,10,22,0,0,10,6,0.35,130,1,0,0,0.375,0,0,20,250,4,0,NotFaulty
5,1,0,3,5,10,0,3,5,2,5,0,0,0,0.5,0,0,0,301,1,0,NotFaulty
3,1,0,2,5,1,0,2,3,0,25,1,0,0,0.5556,0,0,7,504,2,0,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1514,1,0,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,758,1,0,NotFaulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,1517,1,0,NotFaulty
2,1,0,3,10,0,0,3,1,1.3333,60,1,0,0,0.6667,0,0,27.5,762,4,0,NotFaulty
12,1,0,16,39,20,0,16,6,0.6061,264,0.8889,0,0,0.2727,0,0,20.25,128,6,0.0022,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
3,2,0,3,7,1,0,3,1,0,21,0,0,0.9846,0.6667,0,0,5.6667,516,1,0,NotFaulty
8,1,0,9,32,0,0,9,3,0.6813,429,0.9231,0,0,0.2857,0,0,51,198,15,0,NotFaulty
4,1,0,3,4,6,0,3,4,2,4,0,0,0,0.4375,0,0,0,398,1,0,NotFaulty
14,1,0,5,40,61,0,5,12,0.9231,451,0.75,0,0,0.3407,0,0,30.9286,117,15,0.0054,NotFaulty
14,1,0,2,28,89,0,2,13,0.8974,349,0.6667,0,0,0.2615,0,0,23.7143,120,6,0,NotFaulty
8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.3125,0,0,0,211,1,0,NotFaulty
6,1,0,2,6,15,0,2,6,2,6,0,0,0,0.4444,0,0,0,283,1,0,NotFaulty
2,1,0,6,9,1,0,6,2,2,78,0,0,0,0.5,0,0,38,850,1,0,NotFaulty
6,1,0,1,10,9,0,1,5,0.8667,66,0.6667,0,0,0.55,0,0,9.5,284,2,0,NotFaulty
6,1,0,1,10,9,0,1,5,0.8667,66,0.6667,0,0,0.55,0,0,9.5,285,2,0,NotFaulty
5,1,0,1,9,10,0,1,5,1.25,33,1,0,0,0.55,0,0,5.4,343,1,0,NotFaulty
5,1,0,1,9,10,0,1,5,1.25,33,1,0,0,0.55,0,0,5.4,344,1,0,NotFaulty
12,1,0,4,30,0,0,4,8,0.7818,181,1,0,0,0.25,0,0,13.6667,145,2,0,NotFaulty
4,1,0,1,7,0,0,1,4,0.6667,33,1,0,0,0.5,0,0,6.75,436,2,0.0011,NotFaulty
9,1,0,5,29,16,0,5,6,0.775,201,0.8,0,0,0.25,0,0,20.7778,196,8,0.0019,NotFaulty
1,1,0,0,2,0,0,0,1,2,8,0,0,0,1,0,0,3,1768,1,0,NotFaulty
13,1,0,1,16,78,0,1,11,1,55,0,1,0,0.5417,0,0,3.1538,137,1,0.0054,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1782,1,0,NotFaulty
6,1,0,2,15,0,0,2,5,0.6,94,0.5,0,0,0.5,0,0,14.3333,298,3,0.0014,NotFaulty
16,1,0,1,25,10,0,1,15,0.3333,213,1,0,0,0.2969,0,0,12.25,113,4,0,NotFaulty
7,1,0,0,7,21,0,0,7,2,7,0,0,0,1,0,0,0,261,1,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
9,2,0,7,17,34,0,7,6,0.9792,114,0.1667,6,0.6842,0.35,1,1,11,204,2,0,NotFaulty
29,1,0,2,41,314,0,2,25,0.9505,654,0.6129,0,0,0.8214,0,0,20.4828,65,10,0.01,NotFaulty
2,1,0,1,3,1,0,1,1,2,7,0,0,0,0.75,0,0,2.5,951,1,0,NotFaulty
2,1,0,1,3,1,0,1,1,2,7,0,0,0,0.75,0,0,2.5,952,1,0,NotFaulty
2,1,0,2,4,1,0,2,1,1,13,0,2,0,1,0,0,4.5,953,1,0,NotFaulty
4,1,0,8,24,0,0,8,2,0.4167,189,0.75,0,0,0.8333,0,0,45.25,482,14,0.0011,NotFaulty
3,1,0,3,6,0,0,3,2,0,28,1,0,0,0.6667,0,0,8,645,2,0.0007,NotFaulty
3,1,0,3,12,3,0,3,3,2,110,0,0,0,0.5556,0,0,35.6667,650,9,0.0007,NotFaulty
3,1,0,2,4,3,0,2,2,1,16,0,2,0,1,0,0,3.6667,651,1,0,NotFaulty
24,1,0,7,24,276,0,7,24,2,24,0,0,0,0.2813,0,0,0,82,1,0,NotFaulty
36,1,0,16,62,474,0,16,33,0.1429,515,1,0,0,0.131,0,0,13.2778,56,5,0.0011,NotFaulty
2,1,0,3,6,0,0,3,1,0,27,1,0,0,0.6667,0,0,11.5,1018,2,0,NotFaulty
6,1,0,4,26,0,0,4,4,0.2,204,1,0,0,0.4444,0,0,32,343,9,0,NotFaulty
56,1,0,16,51,1540,0,16,54,1,208,0,1,0,0.1189,0,0,2.6964,37,1,0,NotFaulty
5,1,0,10,27,4,0,10,4,0.5,160,0,0,0,0.3125,0,0,30.8,428,12,0.0026,NotFaulty
86,1,0,35,129,3131,0,35,75,0.749,1241,0.9333,0,0,0.1017,0,0,13.2558,26,10,0.0236,NotFaulty
3,1,0,3,6,3,0,3,2,1,23,0,0,0,0.5,0,0,6.3333,764,1,0,NotFaulty
10,1,0,10,30,0,0,10,9,0.4444,119,1,0,0,0.28,0,0,10.7,230,3,0,NotFaulty
2,1,0,2,2,1,0,2,2,2,2,0,0,0,0.6667,0,0,0,1153,1,0,NotFaulty
5,1,0,2,8,4,0,2,4,0.25,48,0.5,0,0,0.6,0,0,8.2,462,2,0,NotFaulty
11,1,0,10,24,11,0,10,10,0.4333,132,1,0,0,0.2727,0,0,10.7273,211,4,0.0004,NotFaulty
4,1,0,2,15,6,0,2,4,2,88,0,0,0,0.4375,0,0,21,584,6,0,NotFaulty
1,1,0,2,5,0,0,2,0,2,40,0,0,0,0,0,0,37,2339,1,0,NotFaulty
11,2,0,5,23,47,0,5,8,0.7667,114,0.3333,3,0.619,0.2143,1,1,9.0909,214,4,0.0034,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,2360,1,0,NotFaulty
5,1,0,2,5,10,0,2,5,2,5,0,0,0,0.6,0,0,0,473,1,0,NotFaulty
10,1,0,7,38,25,0,7,7,0.2778,295,0.75,0,0,0.1444,1,1,28.1,239,6,0.0004,NotFaulty
4,2,0,1,7,4,0,1,2,0.8889,45,0.3333,3,0.8667,0.4444,1,1,9.5,599,1,0.0004,NotFaulty
1,1,0,1,3,0,0,1,0,2,21,0,0,0,0,0,0,19,2399,1,0,NotFaulty
10,1,0,17,30,33,0,17,8,0.6667,185,0.5,0,0,0.4286,0,0,17.3,242,8,0,NotFaulty
3,1,0,6,3,3,0,6,3,2,3,0,0,0,0.5,0,0,0,808,1,0,NotFaulty
3,1,0,10,24,3,0,10,3,2,121,0,0,0,0.3333,0,0,39.3333,814,15,0.0026,Faulty
4,1,0,4,4,6,0,4,4,2,4,0,0,0,0.6667,0,0,0,612,1,0,NotFaulty
10,1,0,17,33,19,0,17,8,0.3333,304,0.5,0,0,0.4286,0,0,29.2,248,8,0,NotFaulty
3,1,0,4,4,3,0,4,2,1,22,0,0,0,0.5,0,0,6,829,2,0,Faulty
3,1,0,1,4,3,0,1,2,2,16,0,0,0,1,0,0,4.3333,830,1,0,Faulty
3,1,0,3,4,3,0,3,2,2,15,0,0,0,1,0,0,4,831,1,0,Faulty
15,1,0,11,15,105,0,11,15,2,15,0,0,0,0.2333,0,0,0,167,1,0,NotFaulty
10,1,0,3,15,15,0,3,10,0.6667,124,1,0,0,0.325,0,0,10.7,251,2,0.0203,NotFaulty
6,1,0,1,6,15,0,1,6,2,6,0,0,0,0.6111,0,0,0,420,1,0,NotFaulty
6,1,0,8,16,7,0,8,4,0.4,92,0,0,0,0.5833,0,0,13.8333,422,4,0,Faulty
4,1,0,3,6,2,0,3,2,0.6667,26,1,0,0,0.375,0,0,5,635,1,0,Faulty
15,1,0,7,32,71,0,7,12,0.8413,187,0.1111,0,0,0.1778,0,0,10.8667,170,4,0.0022,NotFaulty
1,1,0,1,3,0,0,1,0,2,28,0,0,0,0,0,0,26,2560,1,0,NotFaulty
5,2,0,2,14,8,0,2,3,0.9375,80,0.25,4,0.8125,0.4167,1,1,14.2,513,2,0.0007,NotFaulty
1,1,0,1,3,0,0,1,0,2,28,0,0,0,0,0,0,26,2567,1,0,NotFaulty
15,1,0,11,35,99,0,11,12,0.7143,203,1,0,0,0.2,1,1,12.4667,173,8,0.0029,NotFaulty
5,1,0,4,10,10,0,4,3,1,40,0,0,0,0.6667,0,0,6.8,520,1,0,NotFaulty
0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
6,2,0,1,9,7,0,1,4,0.8,75,0.25,4,0.7647,0.4,1,1,10.8333,435,3,0.0011,NotFaulty
3,1,0,3,3,3,0,3,3,2,3,0,0,0,1,0,0,0,871,1,0,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,1,0,0,0,872,1,0,NotFaulty
27,1,0,13,47,255,0,13,24,0.8571,499,1,0,0,0.1752,0,0,16.963,98,9,0,NotFaulty
4,2,0,1,7,4,0,1,2,0.8889,45,0.3333,3,0.8667,0.4444,1,1,9.5,668,1,0.0004,NotFaulty
1,1,0,1,3,0,0,1,0,2,21,0,0,0,0,0,0,19,2673,1,0,NotFaulty
5,2,0,2,14,8,0,2,3,0.9167,67,0.3333,3,0.8125,0.4167,1,1,11.8,536,4,0.0007,NotFaulty
2,1,0,1,8,0,0,1,1,0,28,0,0,0,0.6,0,0,12.5,1342,3,0,NotFaulty
7,1,0,3,21,11,0,3,3,0.7917,117,0.75,1,0,0.25,0,0,15.1429,385,4,0.0004,NotFaulty
10,1,0,3,10,45,0,3,10,2,10,0,0,0,1,0,0,0,270,1,0,NotFaulty
1,1,0,1,3,0,0,1,0,2,28,0,0,0,0,0,0,26,2707,1,0,NotFaulty
6,2,0,2,15,13,0,2,4,0.95,100,0.25,4,0.7647,0.4,1,1,15,452,2,0.0019,NotFaulty
10,1,0,20,19,39,0,20,10,0.7778,85,1,0,0,0.2923,0,0,7.4,272,1,0,NotFaulty
12,1,0,30,60,0,0,30,10,0.6136,499,0.875,0,0,0.2662,0,0,39.9167,229,8,0.0004,NotFaulty
6,1,0,22,32,15,0,22,6,2,194,0,0,0,0.4722,0,0,31.3333,460,3,0.0044,NotFaulty
5,1,0,7,5,10,0,7,5,2,5,0,0,0,0.5333,0,0,0,554,1,0,NotFaulty
1,1,0,1,2,0,0,1,0,2,16,0,0,0,1,0,0,12,2771,1,0,NotFaulty
9,1,0,11,9,36,0,11,9,2,9,0,0,0,0.3162,0,0,0,308,1,0,NotFaulty
2,1,0,1,4,1,0,1,2,2,26,0,0,0,0.5,0,0,12,1391,2,0,NotFaulty
3,1,0,6,24,1,0,6,2,0.9,121,0.2,0,0,0.5,0,0,37.6667,931,9,0.0004,Faulty
7,1,0,3,15,7,0,3,5,0.4167,117,0.75,0,0,0.5833,0,0,15.1429,401,7,0,NotFaulty
2,1,0,2,6,0,0,2,2,0,19,1,0,0,0.75,0,0,8,1407,1,0,NotFaulty
47,1,0,22,106,893,0,22,45,0.8261,427,0.5,0,0,0.1288,1,1,8.0426,61,4,0.0146,NotFaulty
6,1,0,5,6,15,0,5,6,2,6,0,0,0,0.5417,0,0,0,480,1,0,NotFaulty
41,1,0,14,47,820,0,14,41,1.025,171,1,0,0,0.1289,0,0,3.1463,71,2,0.0011,NotFaulty
2,1,0,1,5,0,0,1,2,0,16,1,0,0,0.75,0,0,6.5,1464,1,0,NotFaulty
6,1,0,2,11,3,0,2,5,0.5333,55,0.6667,0,0,0.6,0,0,7.6667,489,3,0,NotFaulty
1,1,0,1,3,0,0,1,0,2,21,0,0,0,0,0,0,19,2938,1,0,NotFaulty
4,1,0,13,41,2,0,13,2,0.3333,264,0.6,0,0,0.5,0,0,63.75,743,30,0,NotFaulty
3,1,0,2,5,3,0,2,2,2,18,0,0,0,0.5556,0,0,5,992,2,0,NotFaulty
10,1,0,14,45,43,0,14,9,0.8889,181,0,0,0,0.2667,0,0,17,300,10,0.0007,NotFaulty
5,2,0,4,10,8,0,4,2,0.9167,51,0.3333,3,0.8667,0.5,1,1,8.6,602,1,0.0004,NotFaulty
2,1,0,2,2,1,0,2,2,2,2,0,0,0,0.8333,0,0,0,1507,1,0,NotFaulty
3,1,0,12,31,3,0,12,3,1.5,140,1,0,0,0.4167,0,0,44.6667,1006,2,0,NotFaulty
