WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
3,3,0,1,4,1,0,1,3,0.5,14,1,0,0.9487,0.6667,0,0,3.3333,462,1,0.0288,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
3,1,0,2,5,3,0,2,1,0.5,18,0,0,0,0.5333,0,0,4.6667,463,1,0,NotFaulty
19,3,0,21,92,121,0,21,14,0.8611,781,1,0,0.6727,0.1754,1,1,39.6842,75,16,0.0407,NotFaulty
3,1,0,2,27,1,0,2,1,1,118,1,0,0,0.625,0,0,37.6667,483,6,0,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1451,1,0,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1452,1,0,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,727,1,0,NotFaulty
2,1,0,7,27,1,0,7,2,2,107,0,0,0,0.75,0,0,52.5,729,4,0,NotFaulty
2,1,0,1,2,1,0,1,2,2,2,0,0,0,1,0,0,0,730,1,0,NotFaulty
6,3,0,1,10,13,0,1,6,1,31,1,0,0.9167,0.4583,0,0,3.8333,244,1,0,NotFaulty
6,3,0,1,10,13,0,1,6,1,31,1,0,0.9167,0.4583,0,0,3.8333,245,1,0,NotFaulty
6,3,0,1,10,13,0,1,6,1,31,1,0,0.9167,0.4583,0,0,3.8333,246,1,0,NotFaulty
6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.5,0,0,0,247,1,0,NotFaulty
6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.5,0,0,0,248,1,0,NotFaulty
6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.5,0,0,0,249,1,0,NotFaulty
10,1,0,7,28,11,0,7,8,0.6389,144,1,0,0,0.2778,0,0,13,151,4,0.0052,NotFaulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,0.6667,0,0,0,505,1,0,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1516,1,0,NotFaulty
4,1,0,2,10,0,0,2,4,0,37,1,0,0,0.4375,0,0,8,380,2,0,NotFaulty
6,1,0,5,15,3,0,5,6,0.7333,57,1,0,0,0.3333,0,0,8,254,1,0.0155,NotFaulty
3,1,0,4,12,1,0,4,2,0.5,52,1,0,0,0.6667,0,0,16,510,3,0.001,NotFaulty
9,1,0,1,22,16,0,1,7,0.7813,130,1,0,0,0.4583,1,1,13,172,7,0,NotFaulty
9,1,0,1,22,16,0,1,7,0.7813,130,1,0,0,0.4583,1,1,13,174,7,0,NotFaulty
9,1,0,1,22,16,0,1,7,0.8393,151,0.5714,3,0,0.4583,1,1,15,175,7,0.0057,NotFaulty
5,1,0,2,10,4,0,2,4,0.5,36,1,0,0,0.7,0,0,6,317,2,0.0029,NotFaulty
4,1,0,0,20,4,0,0,4,0.6667,151,1,0,0,0.4,0,0,36.5,399,6,0,NotFaulty
3,1,0,1,13,0,0,1,3,0.3333,85,1,0,0,0.4667,0,0,26.3333,534,3,0,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,1,1,0,NotFaulty
3,1,0,0,3,3,0,0,3,2,3,0,0,0,1,0,0,0,1,1,0,NotFaulty
5,1,0,1,13,4,0,1,5,0.875,47,1,0,0,0.6,0,0,7.6,2,3,0,NotFaulty
15,1,0,1,20,21,0,1,15,0.8571,138,1,0,0,0.3833,0,0,7.7333,2,2,0,NotFaulty
9,1,0,0,10,28,0,0,9,0.925,45,1,0,0,0.4815,0,0,3.4444,4,1,0,NotFaulty
6,1,0,3,23,15,0,3,3,1.2,200,0,0,0,0.4667,0,0,32.1667,9,4,0.018,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,59,1,0,NotFaulty
7,1,0,11,49,17,0,11,5,0.75,287,1,0,0,0.2667,0,0,39.7143,11,6,0.0171,NotFaulty
6,1,0,7,35,7,0,7,4,0.7,138,1,0,0,0.7,0,0,21.6667,15,5,0.0171,NotFaulty
4,3,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,23,1,0,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,96,1,0,NotFaulty
7,3,0,1,15,13,0,1,7,0.8889,88,1,0,0.8929,0.5714,0,0,11.1429,14,1,0.0177,NotFaulty
3,3,0,0,10,3,0,0,3,1.5,34,1,0,0.9615,0.6667,0,0,10,35,1,0.0173,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.875,0,0,0,54,1,0,NotFaulty
21,1,0,13,68,144,0,13,17,0.675,432,1,1,0,0.3143,0,0,19.381,6,5,0.0175,NotFaulty
7,1,0,0,8,15,0,0,7,0.8333,34,1,0,0,0.3571,0,0,3.4286,21,1,0.017,NotFaulty
5,1,0,0,6,6,0,0,5,0.75,24,1,0,0,0.4667,0,0,3.4,31,1,0.0171,NotFaulty
19,1,0,9,47,133,0,9,18,0.9167,441,1,0,0,0.2697,0,0,21.5789,10,7,0.0169,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,192,1,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NotFaulty
2,1,0,7,7,0,0,7,2,0.3333,43,0.6667,0,0,0.625,0,0,19,97,2,0,NotFaulty
3,1,0,3,5,1,0,3,1,0,27,0.5,0,0,0.6,0,0,7.3333,66,1,0,NotFaulty
3,1,0,1,5,0,0,1,3,0,18,1,0,0,0.6667,0,0,4.6667,67,1,0,NotFaulty
5,1,0,1,5,10,0,1,5,2,5,0,0,0,0.5333,0,0,0,41,1,0,NotFaulty
6,1,0,3,18,3,0,3,6,0.7,74,1,0,0,0.5,0,0,11,35,3,0.0007,NotFaulty
6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.5,0,0,0,36,1,0,NotFaulty
7,1,0,1,8,15,0,1,7,0.9167,35,1,0,0,0.4762,0,0,3.4286,32,1,0,NotFaulty
5,1,0,1,5,10,0,1,5,2,5,0,0,0,0.5333,0,0,0,46,1,0,NotFaulty
6,1,0,3,12,0,0,3,6,0.2,33,1,0,0,0.5,0,0,4.3333,39,1,0,NotFaulty
5,1,0,2,5,10,0,2,5,2,5,0,0,0,0.7333,0,0,0,48,1,0,NotFaulty
6,1,0,7,24,0,0,7,6,0.3,101,1,0,0,0.6667,0,0,15.5,41,1,0.0175,NotFaulty
6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.5,0,0,0,42,1,0,NotFaulty
9,1,0,1,15,4,0,1,9,0.75,125,1,0,0,0.3611,1,1,12.4444,30,9,0,NotFaulty
8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.375,0,0,0,35,1,0,NotFaulty
12,1,0,1,12,66,0,1,12,2,12,0,0,0,0.3,0,0,0,24,1,0,NotFaulty
15,1,0,2,24,55,0,2,15,0.8571,222,1,0,0,0.2444,1,1,13.3333,21,18,0,NotFaulty
15,1,0,1,25,35,0,1,15,0.8163,261,1,0,0,0.2444,1,1,15.9333,24,21,0,NotFaulty
8,1,0,1,8,28,0,1,8,2,8,0,0,0,0.3,0,0,0,47,1,0,NotFaulty
11,1,0,2,22,17,0,2,11,0.8,182,1,0,0,0.2424,1,1,15.0909,36,15,0,NotFaulty
3,1,0,2,3,3,0,2,3,2,3,0,0,0,0.8,0,0,0,136,1,0,NotFaulty
12,1,0,11,27,46,0,11,12,0.7818,157,1,0,0,0.2315,0,0,11.6667,35,5,0.0175,NotFaulty
3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.75,0,0,0,143,1,0,NotFaulty
5,1,0,4,31,0,0,4,4,0.5,151,1,0,0,0.625,0,0,28.8,88,7,0,NotFaulty
4,1,0,3,5,6,0,3,4,2,13,0,0,0,0.65,0,0,2.25,111,1,0,NotFaulty
4,4,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,112,1,0,NotFaulty
19,1,0,0,20,117,0,0,19,0.8519,133,1,0,0,0.4737,0,0,5.5263,24,1,0.0213,NotFaulty
11,1,0,0,17,29,0,0,11,0.86,99,1,0,0,0.4545,0,0,7.5455,43,2,0,NotFaulty
2,1,0,6,6,1,0,6,2,1,47,1,0,0,0.75,0,0,22,242,1,0.0177,NotFaulty
